1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,51,52,53,54,55
135.45,131.24,90.151,127.65,82.3,97.992,88.356,84.99,104.53,87.761,122.08,130.92,91.108,136.9,84.351,94.932,94.621,100.11,90.953,143.29,132.66,133.33,87.277,108.06,74.961,83.64,120.63,83.233,122.94,137.01,130.83,94.876,99.085,139.05,86.429,97.686,91.923,87.681,116.9,86.781,112.28,86,128.62,79.274,127.65,129.8,133.2,98.131,134.62,85.307,106.26,92.448,93.592,96.713,93.141
87.706,97.297,132.1,103.2,44.115,126.84,110.29,127.91,47.43,122.2,95.964,108.38,135.27,98.747,42.673,132.58,132.49,51.943,127.81,73.728,92.102,82.558,129.13,46.543,122.97,116.09,61.163,118.83,86.041,78.945,86.933,121.3,137.49,91.899,45.256,135.63,120.55,136.1,57.213,135.64,89.86,119.02,58.354,131.54,84.284,82.535,90.924,138.73,84.045,52.043,138.66,124.58,126.06,47.257,134.1
90.439,97.496,113.35,95.763,39.932,115.44,121.65,108.93,44.971,110.64,70.034,90.99,121.16,76.862,26.063,115.53,113.01,44.371,119.35,76.017,87.695,87.814,94.513,48.016,102.67,98.021,58.834,89.986,76.613,92.474,89.564,107.95,111.61,105.31,47.658,118.04,108.6,100.94,62.035,100.64,82.138,91.838,68.516,94.706,86.178,88.974,107.94,124.33,102.9,41.096,130.16,110.21,117.18,54.088,124.36
127.93,134.07,86.201,126.99,82.498,79.145,75.777,82.227,110.62,72.349,133.15,136,95.2,125.53,68.665,88.452,87.541,104.21,78.645,131.35,127.9,126.4,85.916,92.556,79.954,81.11,101.94,82.543,106.61,123.79,118.02,98.059,107.91,128.21,57.328,104.01,91.634,87.847,93.363,89.196,108.21,82.662,109.27,85.937,125.41,129.54,118.35,104.64,131.89,63.348,108.64,98.714,96.119,65.04,99.37
70.631,80.647,109.35,83.513,31.288,106.3,108.21,95.692,33.797,103.09,64.612,82.194,106.51,90.42,28.282,109.92,104.53,37.325,109.72,72.109,82.23,73.86,103.64,33.032,102.16,95.222,39.54,93.09,71.15,67.989,77.571,110.07,111.7,81.059,30.456,117.66,113.18,97.131,44.755,96.809,63.46,89.476,56.313,95.781,75.295,69.759,84.977,121.77,76.443,30.288,119.89,117.59,112.13,29.605,113.52
131.87,130.26,79.549,123.02,88.605,77.375,83.53,78.944,105.74,70.282,129.26,130.29,79.671,122.16,94.067,83.083,73.76,116.33,72.095,126.16,129.07,134.62,73.226,103.92,67.476,74.26,116.76,65.727,113.14,121.69,119.65,85.188,86.069,128.83,84.541,98.992,86.039,80.156,106.52,80.2,116,73.466,125.13,82.405,120.81,129.2,127.84,100.9,137.7,82.705,94.404,91.568,96.47,88.578,87.985
108.5,110.44,108.15,112.37,43.776,111.16,93.571,93.618,67.19,101.24,111.31,113.62,110.68,115.36,42.853,114.43,99.452,71.416,91.52,113.1,115.76,123.08,91.086,65.666,89.162,80.56,99.725,68.037,103.33,117.98,117.99,91.569,111.7,129.22,50.951,111.1,87.494,92.507,83.74,79.783,106.92,81.478,106.73,83.997,110.82,117.74,126.28,118.01,127.13,56.649,112.42,96.536,105.53,65.779,102.52
80.206,104.64,127.61,96.116,39.449,127.36,114.23,121.74,51.026,126.75,85.511,103.4,126.74,97.133,44.49,133.3,128.58,56.308,124.57,83.272,97.118,93.272,128.06,43.276,126.75,118.82,53.833,120.89,88.348,72.111,92.74,132.24,139.52,88.384,45.988,138.13,120.92,129.34,52.944,132.33,81.32,119.43,56.509,113.62,92.287,73.492,96.839,139.92,93.465,57.07,135.18,128.09,136.44,49.588,132.96
86.048,87.691,109.89,100.32,37.15,109.28,100.67,99.506,50.759,94.921,87.361,93.028,108.11,99.486,32.884,114.47,102.39,47.776,108.48,76.071,88.808,81.491,103.87,42.349,106.04,94.68,48.574,89.972,66.246,72.838,83.672,109.57,114.12,85.667,30.71,114.04,107.9,98.141,36.355,100.02,73.017,84.225,62.33,96.421,85.802,74.796,83.857,123.59,88.028,33.762,121.24,106.5,120.22,36.665,121.5
